sub_num,trial_num,trial_type,relation1,relation2,pair1_word1,pair1_word2,pair2_word1,pair2_word2,rating,RT
2,39,within-subtype,5c,5c,ice,cold,psychotic,insanity,7,3653
2,40,within-subtype,7g,7g,paper,pencil,clothes,iron,7,3827
2,41,between-subtype,5h,5f,drop,slippery,generous,give,6,6981
2,42,between-subtype,7g,7c,carpet,vacuum,surgeon,scalpel,7,3758
2,43,within-subtype,3g,3g,male,female,rooster,hen,7,4865
2,44,attention check,,,representations,,simultaneously,,1,3515
2,45,between-subtype,10f,10e,curtain,window,anthropology,people,3,5740
2,46,within-subtype,9d,9d,office,telephone,office,computer,7,3452
2,47,within-subtype,9e,9e,margin,paper,edge,cliff,7,3590
2,48,within-subtype,3c,3c,nudging,shoving,wet,saturated,7,4754
2,49,within-subtype,4e,4e,old,young,thin,chubby,7,3921
2,50,between-subtype,10a,10b,license,permission,yawn,boredom,6,5779
2,51,within-subtype,5d,5d,pensive,thought,drunk,intoxication,7,4498
2,52,between-subtype,1a,1c,dog,chihuahua,mammal,gorilla,7,4331
2,53,between-subtype,9h,9i,arrest,trial,foot,shoe,2,5482
2,54,within-subtype,9g,9g,morning,sunrise,elderly,retirement,7,4111
3,1,between-type,7d,4f,donate,charity,rage,happiness,1,5937
3,2,between-subtype,6h,6g,wash,dirty,speed,slowly,3,7201
3,3,within-subtype,3a,3a,raise,elevate,house,dwelling,4,7761
3,4,between-subtype,8d,8c,burnish,shine,chemical,firework,4,6085
3,5,within-subtype,10a,10a,wrinkle,age,cross,faith,6,5688
3,6,between-subtype,8d,8e,breathe,live,athlete,medal,4,5879
3,7,between-subtype,6e,6a,confidant,betray,love,hating,7,21851
3,8,within-subtype,9h,9h,introduction,conclusion,narrative,epilogue,4,6180
3,9,within-subtype,8h,8h,sunscreen,burns,moisturize,dryness,7,5240
3,10,within-subtype,7e,7e,instruct,subordinate,inspire,follower,6,19938
3,11,attention check,,,hummingbird,,hummingbird,,7,6712
3,12,between-subtype,1d,1e,birds,crows,city,Dallas,7,5946
3,13,within-subtype,4g,4g,bright,dark,smiling,sad,6,5833
3,14,within-subtype,8h,8h,sun,darkness,immunization,disease,7,5184
3,15,between-subtype,7a,7c,florist,flowers,writer,pen,6,7720
3,16,within-subtype,3b,3b,jog,run,affection,love,5,4645
3,17,within-subtype,10c,10c,recording,sound,signature,acknowledgment,5,10474
3,18,within-subtype,5a,5a,diamond,shiny,mogul,wealth,7,28618
3,19,within-subtype,1b,1b,garment,skirt,artwork,sculpture,7,14736
3,20,between-subtype,2i,2g,bird,lips,wall,bricks,4,7343
3,21,between-type,6c,2a,slavery,freedom,movie,scene,1,18142
3,22,attention check,,,coincidence,,knowledgeable,,1,6430
3,23,between-subtype,5e,5g,dynamite,explode,excitement,happy,3,6286
3,24,within-subtype,8f,8f,hug,comfort,medicine,recovery,6,5656
3,25,between-subtype,10b,10a,yawn,boredom,license,permission,5,5723
3,26,between-subtype,2h,2a,scholar,books,dog,tail,4,5736
3,27,between-subtype,5i,5h,fire,burnt,comfort,hurting,2,14049
3,28,between-subtype,5e,5g,rabbit,hop,laugh,happy,5,5465
