sub_num,trial_num,trial_type,wordA,wordB,wordC,wordD,rating,RT
15,14,real,pride,lion,brain,neuron,2,3171
15,15,real,veil,face,password,access,2,4261
15,16,real,flock,bird,hive,bee,7,4532
15,17,filler,class,student,child,adult,1,5991
15,18,attention check,one,two,three,zero,1,2477
16,1,real,brain,neuron,computer,chip,4,10311
16,2,real,egg,chicken,wine,vineyard,5,8343
16,3,real,student,backpack,rabbit,burrow,3,4232
16,4,filler,slavery,freedom,movie,scene,2,7431
16,5,filler,beverage,water,deceit,truth,1,6386
16,6,real,dog,mailman,cat,mouse,6,6642
16,7,real,wedding,bride,aquarium,fish,5,6174
16,8,filler,class,student,child,adult,1,5457
16,9,attention check,one,two,three,four,7,4341
16,10,filler,mall,shops,widow,husband,1,15478
16,11,real,password,access,key,safe,6,7039
16,12,real,lawyer,books,chemist,beakers,6,5767
16,13,real,hat,head,disguise,identity,2,4989
16,14,real,person,clothes,bird,feathers,6,4407
16,15,real,nurse,patient,frog,tadpole,1,5558
16,16,real,hive,bee,hangar,airplane,3,7805
16,17,real,foot,shoe,wall,painting,1,6234
16,18,attention check,one,two,three,zero,1,3036
17,1,real,pride,lion,brain,neuron,4,12553
17,2,real,nurse,patient,mother,baby,4,1150
17,3,real,bird,feathers,cat,whiskers,5,970
17,4,real,lawyer,books,chemist,beakers,3,1505
