sub_num,trial_num,trial_type,wordA,wordB,wordC,wordD,rating,RT
66,4,filler,slavery,freedom,movie,scene,1,2318
66,5,real,foot,shoe,wrist,bracelet,6,3735
66,6,real,person,clothes,bird,feathers,4,4534
66,7,real,aquarium,fish,carton,milk,4,5109
66,8,real,veil,face,key,safe,2,2782
66,9,attention check,one,two,three,zero,1,2471
66,10,filler,mall,shops,widow,husband,1,3265
66,11,real,student,backpack,rabbit,burrow,2,4806
66,12,real,egg,chicken,wine,vineyard,3,6047
66,13,real,lawyer,books,chemist,beakers,4,2822
66,14,real,cat,mouse,horse,hay,5,4166
66,15,filler,beverage,water,deceit,truth,1,4110
66,16,real,hive,bee,hangar,airplane,5,3510
66,17,real,nurse,patient,frog,tadpole,1,2886
66,18,attention check,one,two,three,four,7,2491
67,1,real,cat,mouse,horse,hay,2,6708
67,2,real,foot,shoe,wrist,bracelet,6,5015
67,3,real,cocoon,butterfly,wine,vineyard,3,5725
67,4,filler,class,student,child,adult,3,3056
67,5,real,bird,feathers,cat,whiskers,7,3057
67,6,real,veil,face,key,safe,4,4199
67,7,real,nurse,patient,mother,baby,7,2631
67,8,filler,beverage,water,deceit,truth,1,4124
67,9,attention check,one,two,three,four,7,3285
67,10,filler,mall,shops,widow,husband,2,4461
67,11,real,lawyer,books,chemist,beakers,7,3124
67,12,real,aquarium,fish,carton,milk,7,2552
67,13,real,hat,head,disguise,identity,2,4065
67,14,filler,slavery,freedom,movie,scene,3,3476
67,15,real,flock,bird,hangar,airplane,6,3469
67,16,real,snail,shell,rabbit,burrow,6,2887
67,17,real,pride,lion,brain,neuron,4,3317
67,18,attention check,one,two,three,zero,1,2670
68,1,real,dog,mailman,horse,hay,2,14401
68,2,real,wedding,bride,carton,milk,1,13209
68,3,filler,mall,shops,widow,husband,1,10843
68,4,real,cocoon,butterfly,egg,chicken,7,14237
68,5,real,hat,head,mask,face,7,7055
68,6,real,wrist,bracelet,wall,painting,6,20938
68,7,real,veil,face,password,access,1,10762
68,8,real,brain,neuron,computer,chip,6,7320
68,9,attention check,one,two,three,zero,1,4742
68,10,real,flock,bird,hive,bee,7,4577
68,11,filler,class,student,child,adult,1,10303
68,12,real,person,clothes,cat,whiskers,3,13287
68,13,real,student,backpack,rabbit,burrow,4,14551
68,14,real,chemist,beakers,librarian,books,5,9904
68,15,real,mother,baby,frog,tadpole,7,5671
68,16,filler,slavery,freedom,movie,scene,1,5316
68,17,filler,beverage,water,deceit,truth,1,6117
68,18,attention check,one,two,three,four,7,2667
69,1,real,hive,bee,hangar,airplane,6,4983
69,2,real,student,backpack,snail,shell,2,8466
69,3,filler,slavery,freedom,movie,scene,1,4507
69,4,real,cocoon,butterfly,egg,chicken,2,5316
69,5,real,mother,baby,frog,tadpole,7,6403
69,6,real,wedding,bride,carton,milk,2,9211
69,7,real,wrist,bracelet,wall,painting,4,4955
69,8,filler,class,student,child,adult,1,3787
69,9,attention check,one,two,three,zero,1,6591
69,10,real,person,clothes,bird,feathers,6,4745
69,11,filler,mall,shops,widow,husband,1,5900
69,12,real,mask,face,disguise,identity,5,4446
69,13,filler,beverage,water,deceit,truth,1,4387
69,14,real,veil,face,key,safe,1,5197
69,15,real,lawyer,books,librarian,books,3,4974
69,16,real,pride,lion,brain,neuron,5,4932
69,17,real,dog,mailman,horse,hay,1,3730
69,18,attention check,one,two,three,four,7,5043
70,1,real,wedding,bride,carton,milk,5,6433
70,2,real,dog,mailman,horse,hay,1,4707
70,3,real,person,clothes,cat,whiskers,1,5605
70,4,filler,class,student,child,adult,7,8157
70,5,real,cocoon,butterfly,egg,chicken,5,9498
70,6,real,lawyer,books,librarian,books,1,5974
70,7,real,mother,baby,frog,tadpole,5,6405
70,8,filler,mall,shops,widow,husband,1,4670
70,9,attention check,one,two,three,zero,1,3548
70,10,real,wrist,bracelet,wall,painting,7,4708
70,11,real,snail,shell,rabbit,burrow,5,5843
70,12,filler,slavery,freedom,movie,scene,6,4692
70,13,filler,beverage,water,deceit,truth,4,7326
70,14,real,veil,face,password,access,5,7628
70,15,real,flock,bird,hive,bee,5,6022
70,16,real,mask,face,disguise,identity,5,4065
70,17,real,pride,lion,brain,neuron,1,4103
70,18,attention check,one,two,three,four,7,3430
71,1,filler,slavery,freedom,movie,scene,1,8486
71,2,filler,class,student,child,adult,1,8447
71,3,filler,beverage,water,deceit,truth,2,5273
71,4,real,egg,chicken,wine,vineyard,5,10272
71,5,real,dog,mailman,cat,mouse,7,4458
71,6,filler,mall,shops,widow,husband,3,6993
71,7,real,password,access,key,safe,7,4499
71,8,real,pride,lion,computer,chip,6,9954
71,9,attention check,one,two,three,zero,1,3815
71,10,real,nurse,patient,frog,tadpole,2,7978
71,11,real,student,backpack,snail,shell,6,7144
71,12,real,mask,face,disguise,identity,7,7143
71,13,real,foot,shoe,wall,painting,5,4871
71,14,real,hive,bee,hangar,airplane,7,3507
71,15,real,person,clothes,bird,feathers,5,3981
71,16,real,lawyer,books,librarian,books,5,5306
71,17,real,wedding,bride,aquarium,fish,5,6022
71,18,attention check,one,two,three,four,7,2805
72,1,filler,mall,shops,widow,husband,3,7236
72,2,real,flock,bird,hive,bee,7,4900
72,3,real,foot,shoe,wrist,bracelet,5,5380
72,4,real,aquarium,fish,carton,milk,6,3559
72,5,filler,beverage,water,deceit,truth,1,6442
72,6,real,nurse,patient,mother,baby,4,4593
72,7,real,hat,head,mask,face,6,3607
72,8,real,pride,lion,computer,chip,3,5809
72,9,attention check,one,two,three,zero,4,4852
72,10,real,person,clothes,cat,whiskers,2,7122
72,11,real,student,backpack,rabbit,burrow,2,2941
72,12,real,chemist,beakers,librarian,books,5,3038
72,13,real,cocoon,butterfly,wine,vineyard,3,4911
72,14,real,cat,mouse,horse,hay,4,4538
72,15,filler,class,student,child,adult,1,3827
72,16,filler,slavery,freedom,movie,scene,3,3615
72,17,real,password,access,key,safe,4,4926
72,18,attention check,one,two,three,four,4,2605
73,1,filler,slavery,freedom,movie,scene,1,10752
73,2,filler,mall,shops,widow,husband,1,13324
73,3,real,wedding,bride,aquarium,fish,5,13435
73,4,real,mother,baby,frog,tadpole,4,25036
73,5,real,password,access,key,safe,4,36552
73,6,real,lawyer,books,librarian,books,2,5594
73,7,filler,beverage,water,deceit,truth,1,8000
73,8,filler,class,student,child,adult,1,8446
73,9,attention check,one,two,three,zero,1,10982
73,10,real,cocoon,butterfly,egg,chicken,7,13460
73,11,real,flock,bird,hive,bee,7,9757
73,12,real,person,clothes,cat,whiskers,4,10659
73,13,real,hat,head,disguise,identity,2,13360
73,14,real,snail,shell,rabbit,burrow,1,6758
73,15,real,foot,shoe,wall,painting,5,13163
73,16,real,brain,neuron,computer,chip,5,8670
73,17,real,dog,mailman,cat,mouse,6,13292
73,18,attention check,one,two,three,four,7,8143
74,1,filler,beverage,water,deceit,truth,1,22987
74,2,real,nurse,patient,mother,baby,5,21615
74,3,filler,slavery,freedom,movie,scene,1,10921
74,4,real,wrist,bracelet,wall,painting,5,9448
74,5,real,veil,face,password,access,2,26389
74,6,real,chemist,beakers,librarian,books,6,6738
74,7,real,student,backpack,snail,shell,4,38010
74,8,real,cocoon,butterfly,wine,vineyard,1,11709
74,9,attention check,one,two,three,zero,1,10533
74,10,real,dog,mailman,horse,hay,1,4585
74,11,real,pride,lion,brain,neuron,2,13994
74,12,real,bird,feathers,cat,whiskers,4,9038
74,13,filler,class,student,child,adult,1,5244
74,14,filler,mall,shops,widow,husband,1,6016
74,15,real,wedding,bride,carton,milk,1,10947
74,16,real,mask,face,disguise,identity,3,10023
74,17,real,flock,bird,hangar,airplane,1,3770
74,18,attention check,one,two,three,four,6,7748
75,1,real,aquarium,fish,carton,milk,7,15380
75,2,real,person,clothes,bird,feathers,7,9458
75,3,real,egg,chicken,wine,vineyard,5,14510
75,4,real,hat,head,mask,face,7,7447
75,5,filler,class,student,child,adult,1,9022
75,6,real,pride,lion,computer,chip,4,20197
75,7,real,student,backpack,rabbit,burrow,1,6058
75,8,filler,beverage,water,deceit,truth,1,11260
75,9,attention check,one,two,three,four,7,5884
75,10,real,lawyer,books,chemist,beakers,6,9590
75,11,real,cat,mouse,horse,hay,5,9567
75,12,real,hive,bee,hangar,airplane,6,8802
75,13,real,veil,face,key,safe,1,6653
75,14,filler,slavery,freedom,movie,scene,1,10840
75,15,real,foot,shoe,wrist,bracelet,7,10133
75,16,filler,mall,shops,widow,husband,1,8848
75,17,real,nurse,patient,frog,tadpole,2,14981
75,18,attention check,one,two,three,zero,1,7243
